Sport,Family,1614,1618,2350,All Stores
HIKING/TREKKING,MEN MOUNTAIN TREKKING SHOES,1.0,0.7,0.0,0.5806451612903226
SKATE/ROLLER,HELMET INLINE SKATE/SKATE/SCOOTER,0.8333333333333334,0.8163265306122449,0.6774193548387096,0.7868852459016393
SKATE/ROLLER,CHILD AND ADULT PADS,0.9117647058823529,0.8297872340425532,0.7297297297297297,0.8220338983050848
SKATE/ROLLER,ICE SKATES,0,1.0,0,1.0
HIKING/TREKKING,TREKKING TENTS,0.6666666666666666,0.45454545454545453,0.0,0.4074074074074074
FITNESS,"""FITNESS CARDIO BAGS",0.0,0.0,0.0,0.0
SAILING,REGATTA RAINY WEATHER MAN CLOTHES,1.0,0.3870967741935484,0.0,0.2413793103448276
HIKING/TREKKING,MEN NATURE HIKING SHOES,0.7956989247311828,0.8288288288288288,0.43243243243243246,0.7551867219917012
TRAIL,COMPASS AND ORIENTEERING EQUIPMENT,0.6,0.35294117647058826,0.0,0.3
Others,RIDING WEAR JUNIOR,1.0,0.975609756097561,0.0,0.94
CLIMBING,AXES & CRAMPONS,0,1.0,0,1.0
BASKETBALL,OFFICIALS BASKETBALL BACKBOARD,0.5,0.6666666666666666,0.0,0.5555555555555556
Others,SERVICE RACKETS,0.0,0,0,0.0
SKATE/ROLLER,JUNIOR FITNESS ICE SKATES,1.0,1.0,0,1.0
SKATE/ROLLER,CHILDREN INLINE SKATE,0.6721311475409836,0.5443037974683544,0.3469387755102041,0.5343915343915344
TENNIS,OCCASIONNAL TENNIS,0.6875,0.6875,0.0,0.5945945945945946
Others,LEISURE PETANQUE BALLS,1.0,0.0,0,0.3333333333333333
HIKING/TREKKING,"""NATURE HIKING SHELTERS",0.0,0.0,0.0,0.0
SAILING,SAILOR SAFETY EQUIPMENT,1.0,0.8333333333333334,0.16666666666666666,0.6470588235294118
HIKING/TREKKING,HIKING INSOLES,0.8275862068965517,0.6666666666666666,0.125,0.6153846153846154
JOG/RUN,RUNNING INSOLES,0.5833333333333334,0.7142857142857143,0.16666666666666666,0.5625
FITNESS,TEXTILE,0,1.0,0,1.0
